State,Year,Total_co2_emission,Average_Price,resident_population,Total_energy,Total_renewable_energy,,
KY,2011,148.044831,20.59,4369,2843181,66399,,
AL,2007,147.430252,16.06,4673,1408105,228160,,
KY,2004,147.385931,11.08,4146,3030285,65370,,
NC,2003,146.500279,12.29,8423,607883,181552,,
KY,2002,145.949034,8.8,4090,3271820,62831,,
AL,2006,145.782018,14.96,4629,1413493,266153,,
NC,2002,145.333685,11.37,8326,539009,125225,,
KY,2001,145.308387,9.3,4068,3484431,53167,,
NC,2001,143.810537,11.67,8210,521833,127348,,
KY,2000,143.765285,9.3,4049,3413501,36052,,
AL,2005,143.332446,13.56,4570,1502435,279600,,
NC,1997,143.130764,10.04,7657,505382,164819,,
NC,2010,143.008967,20.31,9574,579748,153939,,
KY,1999,142.555489,7.82,4018,3640198,38204,,
NC,1998,142.466784,9.46,7809,566450,159627,,
AL,2000,142.242532,8.78,4452,1539601,263303,,
KY,2003,142.050629,9.77,4117,2983163,65580,,
AL,2004,141.664798,11.27,4531,1544007,290697,,
KY,1997,141.24599,8.07,3953,4092953,47970,,
MO,2005,141.164393,15.12,5790,149612,38894,,
NC,1999,140.780871,9.8,7949,531852,139731,,
KY,2009,139.7526,15.28,4317,2823137,65053,,
AL,2008,139.628142,19.22,4718,1482792,233379,,
GA,2014,139.597657,21.21,10069,608929,254053,,
MO,2006,139.370588,16.67,5843,157085,26006,,
AL,2003,139.358938,9.98,4503,1521048,283428,,
KY,1998,138.556222,7.55,3985,3981427,43480,,
MO,2007,138.499778,17.8,5888,164647,38135,,
AL,2002,138.490682,9.16,4480,1486477,252689,,
MO,2004,138.094032,12.71,5748,135395,32596,,
KY,2014,137.550778,20.43,4414,2073071,73565,,
MO,2003,137.545312,11.36,5709,144576,23898,,
GA,2015,137.014497,17.41,10181,632653,263267,,
KY,2012,136.661084,20.68,4386,2393370,57710,,
GA,2016,136.24185,16.53,10305,648439,271314,,
KY,2013,136.1704,20.81,4405,2141407,72596,,
GA,2012,136.169625,21.8,9901,562771,197106,,
AL,1999,136.122518,7.58,4430,1578642,290195,,
MO,2008,135.179658,20.36,5924,185704,50818,,
GA,2013,134.5718,21.43,9973,592058,240106,,
AL,1997,134.474292,7.52,4368,1708520,299675,,
MO,2011,134.200057,22.26,6010,197885,53114,,
AL,1998,133.741224,7.33,4405,1672363,317065,,
AL,2001,133.630128,9.45,4468,1484590,251523,,
MO,2010,133.567876,18.75,5996,199980,57757,,
NC,2009,132.991562,18.53,9450,575724,148498,,
AL,2010,132.767419,17.8,4785,1429505,240913,,
MO,2013,132.021331,22.31,6041,191711,59555,,
MO,2014,131.628662,21.72,6056,199510,56873,,
MO,2002,130.798362,10.36,5675,128691,30541,,
AL,2011,129.930038,20.06,4799,1410745,254867,,
MO,1999,129.816332,8.88,5562,131382,32497,,
MO,2001,129.759087,11.04,5641,129033,29425,,
MO,2009,129.541205,16.69,5961,211099,57847,,
MO,1998,129.438071,8.61,5522,135540,37398,,
VA,2005,128.941117,14.98,7577,1227039,126819,,
NJ,2007,128.891488,19.67,8678,356147,20390,,
NC,2011,128.624282,23.32,9657,577189,153116,,
NJ,2005,128.389725,16.31,8652,347235,19631,,
KY,2015,128.192407,16.37,4426,1686949,71407,,
VA,2007,127.724383,17.56,7751,1175202,116779,,
NC,2014,127.375161,23.15,9934,602124,173650,,
TN,2006,127.176765,16.38,6089,476871,134692,,
VA,2004,127.093903,12.67,7476,1312037,110813,,
TN,2000,126.943923,10,5704,464215,118161,,
TN,2007,126.911809,17.32,6176,489761,105896,,
NJ,2008,126.653919,23.61,8711,359639,23139,,
MO,2012,126.431041,22.6,6024,203199,46969,,
MO,1997,125.220057,9.28,5481,134144,30753,,
TN,2005,125.144738,14.65,5991,543466,158277,,
NC,2013,125.059373,23.38,9844,612428,191942,,
MO,2000,125.04405,11.01,5607,135904,20285,,
TN,2001,124.720105,9.99,5751,529706,136233,,
TN,2002,124.054565,9.69,5796,526516,144778,,
KY,2016,123.920291,15.25,4438,1233997,70347,,
TN,2004,123.71963,12.17,5911,561169,175977,,
NJ,2004,123.605876,14.31,8635,309496,27090,,
VA,2003,123.264897,11.27,7367,1339693,104127,,
AL,2012,123.201027,19.86,4816,1443558,241822,,
AL,2014,123.161802,18.62,4842,1367345,268551,,
VA,2000,122.889517,10.42,7106,1353571,113879,,
NJ,1997,122.562075,9.82,8219,185268,39316,,
VA,2006,122.459059,16.63,7674,1281790,118780,,
MO,2015,122.360765,18.32,6072,205170,56651,,
TN,2003,122.324205,10.63,5848,511002,179977,,
NJ,1999,122.269221,9.18,8360,342637,39891,,
TN,1997,122.03588,8.78,5499,509140,160090,,
NJ,2000,121.927702,11.13,8431,338360,40319,,
NC,2012,121.306233,23.75,9749,564889,152167,,
NJ,2006,121.284591,19.02,8662,361581,21735,,
NJ,2003,121.063315,12.17,8601,336341,26711,,
TN,1999,121.052818,8.66,5639,498129,129913,,
NC,2015,121.049573,19.25,10033,615385,175137,,
AL,2013,120.908517,18.89,4830,1478402,310608,,
VA,2001,120.594249,10.71,7198,1299958,92682,,
TN,1998,120.560996,8.43,5570,529550,156780,,
NC,2016,120.553143,17.95,10157,648808,201309,,
TN,2008,120.415612,20.63,6247,482365,122544,,
AL,2015,120.142812,15.68,4853,1269743,261340,,
